,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
272,1,1,1,1,1,1,1,1,1,1,1
273,1,2,1,1,1,1,1,1,1,1,1
274,2,3,2,2,2,2,2,2,2,2,1
275,3,2,2,3,3,3,2,3,3,3,2
276,3,4,4,3,2,3,3,3,2,3,3
277,1,1,1,1,1,1,1,1,1,1,1
278,4,4,4,4,4,4,4,4,4,4,4
279,2,3,2,2,3,3,2,3,2,3,2
280,1,1,1,1,1,1,1,1,1,1,1
281,3,3,3,2,2,2,2,2,2,2,2
282,4,4,4,4,4,4,4,4,4,4,4
283,3,3,3,4,3,3,3,3,3,3,3
284,1,1,1,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1,1,1,1,1
287,3,4,3,2,3,3,3,2,3,3,3
288,4,3,4,4,4,4,4,4,4,4,4
289,4,4,4,4,4,4,3,3,4,3,4
290,2,1,1,2,2,2,2,1,2,1,2
291,3,3,3,3,3,3,3,3,3,3,3
292,3,3,3,2,3,2,3,3,3,2,3
293,2,2,3,3,2,2,2,2,3,3,2
294,2,1,1,2,2,2,1,2,2,2,2
295,4,4,4,4,4,3,4,3,4,4,4
296,2,3,2,2,2,3,2,2,2,2,2
297,1,1,1,2,1,1,1,1,2,2,1
298,1,1,1,1,1,1,1,1,1,1,1
299,4,3,3,3,4,4,4,4,4,3,4
300,2,2,2,2,2,3,2,2,2,2,2
301,4,3,4,4,4,4,4,4,4,4,4
302,3,2,3,3,3,3,2,2,3,2,2
303,2,2,3,2,2,2,2,2,2,2,2
304,4,4,4,4,4,4,4,4,4,4,4
305,4,4,4,4,4,4,4,4,4,4,4
306,2,2,1,1,2,1,2,2,2,2,1
307,3,2,3,3,3,3,3,3,3,3,3
308,4,4,4,4,4,4,4,4,4,4,4
309,4,4,4,4,4,4,4,4,4,4,4
310,1,1,1,1,1,1,1,1,1,1,1
311,1,1,1,1,1,1,1,1,1,1,1
312,3,2,2,3,3,3,3,3,3,3,3
313,1,2,1,1,1,1,2,2,2,1,1
314,2,2,2,2,2,1,2,2,2,2,2
315,2,2,2,2,2,3,2,2,3,2,2
316,3,3,3,3,3,2,3,3,3,3,3
317,1,1,1,1,1,1,1,1,1,1,1
318,1,1,1,1,1,1,1,1,1,1,1
